entry_time,exit_time,pnl_pct,pnl_dollar,risk_pct,exit_reason,month
2025-10-17 19:00:00,2025-10-19 08:15:00,3.0179062437126927,3.978241705103465,3.375,TP,2025-10
2025-10-19 11:30:00,2025-10-19 13:45:00,-1.4322305515696847,-2.856579612023362,5.0625,SL,2025-10
2025-10-19 14:15:00,2025-10-19 17:00:00,-0.9685100819765117,-1.3931486131294883,2.53125,SL,2025-10
2025-10-20 04:30:00,2025-10-20 06:30:00,-1.0155463892794516,-1.0653813668615724,2.0,SL,2025-10
2025-10-20 07:30:00,2025-10-20 12:30:00,2.117595836054538,2.259439859778833,2.0,TP,2025-10
2025-10-21 11:15:00,2025-10-21 12:15:00,-0.662284882845812,-1.7157143773820784,3.0,SL,2025-10
2025-10-21 13:00:00,2025-10-21 14:00:00,-0.78183731769659,-1.0821618756275502,2.0,SL,2025-10
2025-10-21 14:30:00,2025-10-21 14:45:00,-1.0249821757576227,-1.0292963737899898,2.0,SL,2025-10
2025-10-21 17:00:00,2025-10-21 21:15:00,4.031841207484757,2.2361666935307434,2.0,TP,2025-10
2025-10-23 05:00:00,2025-10-23 05:00:00,-0.6856881642604055,-1.653341221661568,3.0,SL,2025-10
2025-10-23 07:15:00,2025-10-23 13:30:00,-0.883559482486582,-1.0340009571689273,2.0,SL,2025-10
2025-10-23 16:30:00,2025-10-23 16:30:00,-1.1545862732520882,-0.9868520354353743,2.0,SL,2025-10
2025-10-23 18:00:00,2025-10-24 22:15:00,-2.0745905696515767,-0.9312810148544736,2.0,SL,2025-10
2025-10-24 23:00:00,2025-10-26 01:45:00,3.369619734527654,2.1100398211127303,2.0,TP,2025-10
2025-10-26 14:30:00,2025-10-26 20:15:00,1.9601919442434297,3.245636226886702,3.0,TP,2025-10
2025-10-27 19:45:00,2025-11-03 03:45:00,19.69294200618457,5.467401311399398,4.5,TP,2025-10
2025-11-05 17:15:00,2025-11-05 17:30:00,-1.1283703503925318,-3.9911473568091287,6.75,SL,2025-11
2025-11-05 18:00:00,2025-11-05 18:30:00,-1.1411895376440149,-1.8472439660836408,3.375,SL,2025-11
2025-11-05 20:45:00,2025-11-05 21:00:00,-1.3119968194016516,-1.043420325808616,2.0,SL,2025-11
2025-11-06 00:45:00,2025-11-06 16:15:00,9.244154431756389,2.3459822820683263,2.0,TP,2025-11
2025-11-07 15:45:00,2025-11-07 16:15:00,-1.6200858403691616,-1.5855401274620862,3.0,SL,2025-11
2025-11-07 21:15:00,2025-11-08 00:45:00,3.4659062976254926,2.34013526029249,2.0,TP,2025-11
2025-11-09 09:45:00,2025-11-09 13:30:00,-1.2854847348687706,-1.633932184170248,3.0,SL,2025-11
2025-11-09 17:00:00,2025-11-10 04:15:00,-1.623796082561332,-1.038216534439754,2.0,SL,2025-11
2025-11-10 05:00:00,2025-11-10 12:15:00,-2.1089131759735418,-1.0026131347027627,2.0,SL,2025-11
2025-11-10 13:00:00,2025-11-10 13:30:00,-2.053622361665723,-0.9828064830680329,2.0,SL,2025-11
2025-11-10 22:00:00,2025-11-11 04:00:00,25.676673762870916,2.284854922469707,2.0,TP,2025-11
2025-11-12 16:30:00,2025-11-12 16:30:00,-4.628579207696147,-1.476033778325654,3.0,SL,2025-11
2025-11-12 17:30:00,2025-11-16 16:15:00,15.27562541509851,2.3189485893360318,2.0,TP,2025-11
2025-11-18 17:00:00,2025-11-19 06:15:00,3.4970129680897557,3.570167875829821,3.0,TP,2025-11
2025-11-20 03:30:00,2025-11-20 13:30:00,-0.6584773526168087,-2.725102596161364,4.5,SL,2025-11
2025-11-21 19:15:00,2025-11-22 08:15:00,7.859969897987621,2.768309550488324,2.25,TP,2025-11
2025-11-23 06:30:00,2025-11-23 11:15:00,2.6826665128219926,4.274061529744239,3.375,TP,2025-11
2025-11-24 19:45:00,2025-11-26 10:15:00,-2.0609143677036403,-3.0198543524419454,5.0625,SL,2025-11
2025-11-26 14:30:00,2025-11-26 17:45:00,-1.3920582965258497,-1.4615692330594101,2.53125,SL,2025-11
2025-11-26 20:00:00,2025-11-27 06:30:00,-1.1225444340505155,-1.1415673056923954,2.0,SL,2025-11
2025-11-28 09:30:00,2025-11-28 10:15:00,-0.8448415922014563,-1.1467266999856394,2.0,SL,2025-11
2025-11-28 14:15:00,2025-11-28 15:15:00,-0.9708997969254883,-1.1056720980597,2.0,SL,2025-11
2025-11-28 16:00:00,2025-11-28 16:45:00,2.511417944452086,2.3531936234440343,2.0,TP,2025-11
2025-11-29 05:30:00,2025-11-29 08:45:00,2.152649269232236,3.673685297939806,3.0,TP,2025-11
2025-11-30 14:45:00,2025-11-30 16:00:00,-1.0655441181306973,-2.7093657538004994,4.5,SL,2025-11
2025-11-30 17:00:00,2025-11-30 20:30:00,2.454357561143658,2.823797409066711,2.25,TP,2025-11
2025-12-02 20:00:00,2025-12-03 00:30:00,2.1874359149634297,4.441108559443703,3.375,TP,2025-12
2025-12-05 07:15:00,2025-12-05 11:30:00,2.1938704588996836,7.19905626883053,5.0625,TP,2025-12
2025-12-05 20:30:00,2025-12-06 01:00:00,4.322766570605188,12.387649966590619,7.593750000000001,TP,2025-12
2025-12-06 11:45:00,2025-12-07 14:00:00,5.1220247062368145,22.108844990008453,11.390625000000002,TP,2025-12
2025-12-08 09:45:00,2025-12-08 14:15:00,1.4508523757707616,40.28517825006808,17.085937500000004,TP,2025-12
2025-12-09 18:30:00,2025-12-10 01:00:00,2.819292448540335,87.49513058316992,25.628906250000007,TP,2025-12
2025-12-10 20:30:00,2025-12-10 22:00:00,3.0871234294798744,166.2401698495488,30.0,TP,2025-12
2025-12-11 15:45:00,2025-12-12 19:00:00,3.323040365348799,287.56340702589443,30.0,TP,2025-12
