open,close,high,low,volume,time,timestamp
0.13824,0.13877,0.13896,0.13800,7166288,1765428300000,2025-12-11 04:45:00
0.13879,0.13822,0.13879,0.13822,3389204,1765429200000,2025-12-11 05:00:00
0.13826,0.13857,0.13866,0.13820,3233263,1765430100000,2025-12-11 05:15:00
0.13859,0.13865,0.13880,0.13853,5412366,1765431000000,2025-12-11 05:30:00
0.13865,0.13879,0.13900,0.13864,4946116,1765431900000,2025-12-11 05:45:00
0.13879,0.13846,0.13881,0.13842,6732447,1765432800000,2025-12-11 06:00:00
0.13844,0.13797,0.13849,0.13782,2785107,1765433700000,2025-12-11 06:15:00
0.13797,0.13853,0.13885,0.13797,4460426,1765434600000,2025-12-11 06:30:00
0.13855,0.13848,0.13863,0.13822,2188275,1765435500000,2025-12-11 06:45:00
0.13848,0.13827,0.13850,0.13822,2759080,1765436400000,2025-12-11 07:00:00
0.13829,0.13813,0.13843,0.13799,2805221,1765437300000,2025-12-11 07:15:00
0.13815,0.13800,0.13846,0.13800,3033048,1765438200000,2025-12-11 07:30:00
0.13801,0.13803,0.13816,0.13790,2412813,1765439100000,2025-12-11 07:45:00
0.13801,0.13737,0.13803,0.13734,5070477,1765440000000,2025-12-11 08:00:00
0.13739,0.13747,0.13764,0.13725,3083205,1765440900000,2025-12-11 08:15:00
0.13747,0.13749,0.13758,0.13713,5108790,1765441800000,2025-12-11 08:30:00
0.13749,0.13795,0.13797,0.13746,2456728,1765442700000,2025-12-11 08:45:00
0.13795,0.13755,0.13807,0.13753,3262566,1765443600000,2025-12-11 09:00:00
0.13753,0.13796,0.13807,0.13753,5802468,1765444500000,2025-12-11 09:15:00
0.13794,0.13778,0.13817,0.13778,4292088,1765445400000,2025-12-11 09:30:00
0.13780,0.13767,0.13801,0.13751,3814328,1765446300000,2025-12-11 09:45:00
0.13767,0.13788,0.13792,0.13765,1979763,1765447200000,2025-12-11 10:00:00
0.13788,0.13760,0.13789,0.13754,2165772,1765448100000,2025-12-11 10:15:00
0.13760,0.13754,0.13765,0.13740,2532685,1765449000000,2025-12-11 10:30:00
0.13752,0.13798,0.13805,0.13752,2523819,1765449900000,2025-12-11 10:45:00
0.13798,0.13786,0.13810,0.13780,2294480,1765450800000,2025-12-11 11:00:00
0.13786,0.13804,0.13811,0.13773,1771756,1765451700000,2025-12-11 11:15:00
0.13804,0.13815,0.13839,0.13800,3742999,1765452600000,2025-12-11 11:30:00
0.13813,0.13796,0.13820,0.13794,1721172,1765453500000,2025-12-11 11:45:00
0.13795,0.13750,0.13796,0.13745,3267754,1765454400000,2025-12-11 12:00:00
0.13750,0.13773,0.13792,0.13750,5140022,1765455300000,2025-12-11 12:15:00
0.13775,0.13788,0.13799,0.13756,3622522,1765456200000,2025-12-11 12:30:00
0.13788,0.13776,0.13800,0.13767,4807922,1765457100000,2025-12-11 12:45:00
0.13776,0.13772,0.13812,0.13771,1628162,1765458000000,2025-12-11 13:00:00
0.13774,0.13794,0.13810,0.13755,2307340,1765458900000,2025-12-11 13:15:00
0.13789,0.13783,0.13804,0.13760,5021354,1765459800000,2025-12-11 13:30:00
0.13783,0.13798,0.13803,0.13764,1540970,1765460700000,2025-12-11 13:45:00
0.13798,0.13777,0.13800,0.13762,2570229,1765461600000,2025-12-11 14:00:00
0.13779,0.13753,0.13789,0.13750,7217370,1765462500000,2025-12-11 14:15:00
0.13753,0.13762,0.13811,0.13652,15701474,1765463400000,2025-12-11 14:30:00
0.13764,0.13716,0.13775,0.13661,11241395,1765464300000,2025-12-11 14:45:00
0.13716,0.13744,0.13785,0.13683,7982901,1765465200000,2025-12-11 15:00:00
0.13744,0.13744,0.13828,0.13700,9154741,1765466100000,2025-12-11 15:15:00
0.13746,0.13714,0.13749,0.13672,8761280,1765467000000,2025-12-11 15:30:00
0.13712,0.13708,0.13739,0.13667,3376616,1765467900000,2025-12-11 15:45:00
0.13703,0.13651,0.13723,0.13614,7918114,1765468800000,2025-12-11 16:00:00
0.13651,0.13659,0.13672,0.13637,2910182,1765469700000,2025-12-11 16:15:00
0.13659,0.13720,0.13744,0.13627,4845272,1765470600000,2025-12-11 16:30:00
0.13720,0.13687,0.13753,0.13673,3174614,1765471500000,2025-12-11 16:45:00
0.13685,0.13693,0.13708,0.13670,2423293,1765472400000,2025-12-11 17:00:00
0.13693,0.13731,0.13750,0.13685,3184052,1765473300000,2025-12-11 17:15:00
0.13729,0.13716,0.13761,0.13708,2017242,1765474200000,2025-12-11 17:30:00
0.13718,0.13700,0.13743,0.13691,1701942,1765475100000,2025-12-11 17:45:00
0.13700,0.13738,0.13748,0.13681,2401045,1765476000000,2025-12-11 18:00:00
0.13740,0.13740,0.13774,0.13728,2514439,1765476900000,2025-12-11 18:15:00
0.13742,0.13884,0.13886,0.13727,6047678,1765477800000,2025-12-11 18:30:00
0.13886,0.13799,0.13919,0.13773,9219678,1765478700000,2025-12-11 18:45:00
0.13797,0.13806,0.13850,0.13782,2848748,1765479600000,2025-12-11 19:00:00
0.13806,0.13889,0.13897,0.13799,4869192,1765480500000,2025-12-11 19:15:00
0.13891,0.13917,0.13955,0.13884,5817750,1765481400000,2025-12-11 19:30:00
0.13917,0.13834,0.13935,0.13816,5192083,1765482300000,2025-12-11 19:45:00
0.13834,0.13931,0.13941,0.13828,3038746,1765483200000,2025-12-11 20:00:00
0.13929,0.13910,0.13946,0.13883,3952948,1765484100000,2025-12-11 20:15:00
0.13912,0.13969,0.13977,0.13907,4186251,1765485000000,2025-12-11 20:30:00
0.13967,0.13996,0.14015,0.13941,3481537,1765485900000,2025-12-11 20:45:00
0.13998,0.14072,0.14100,0.13996,10094771,1765486800000,2025-12-11 21:00:00
0.14080,0.14189,0.14213,0.14080,7125543,1765487700000,2025-12-11 21:15:00
0.14190,0.14231,0.14270,0.14140,7704539,1765488600000,2025-12-11 21:30:00
0.14231,0.14169,0.14248,0.14159,4758216,1765489500000,2025-12-11 21:45:00
0.14170,0.14148,0.14220,0.14133,4791297,1765490400000,2025-12-11 22:00:00
