concept,direction,entry_idx,exit_idx,entry_price,exit_price,pnl_pct,exit_reason,bars_held,max_profit_pct
6_BB_Squeeze,SHORT,38480,38482,0.3628,0.3656285714285714,-0.8796503386359984,SL,2,0.24807056229327779
6_BB_Squeeze,SHORT,38481,38482,0.3622,0.3651142857142857,-0.9046067681628112,SL,1,0.0
6_BB_Squeeze,LONG,38520,38531,0.3645,0.36155714285714285,-0.9073682147756204,SL,11,0.3292181069958942
6_BB_Squeeze,LONG,38522,38532,0.3639,0.36051428571428573,-1.0303968908255756,SL,10,0.49464138499588456
6_BB_Squeeze,LONG,38523,38532,0.3648,0.3613,-1.0594298245614044,SL,9,0.2467105263157927
6_BB_Squeeze,SHORT,38556,38723,0.3603,0.36319999999999997,-0.904884818207038,SL,167,1.72078823202886
6_BB_Squeeze,SHORT,38557,38560,0.3581,0.36108571428571423,-0.9337655084373803,SL,3,0.08377548170901061
6_BB_Squeeze,SHORT,38580,38593,0.3594,0.36165714285714284,-0.7280308450592228,SL,13,0.1947690595436779
6_BB_Squeeze,SHORT,38581,38593,0.359,0.36124285714285714,-0.7247512932749743,SL,12,0.0557103064066791
6_BB_Squeeze,SHORT,38615,38637,0.3584,0.36055714285714285,-0.7018813775510205,SL,22,1.1997767857142774
6_BB_Squeeze,SHORT,38616,38637,0.3588,0.3609,-0.6852842809364522,SL,21,1.3099219620958702
6_BB_Squeeze,LONG,38637,38641,0.3624,0.3600142857142857,-0.7583096814885001,SL,4,0.05518763796908884
6_BB_Squeeze,LONG,38638,38647,0.3613,0.35874285714285714,-0.8077616543434455,SL,9,0.05535566011624079
6_BB_Squeeze,LONG,38669,38761,0.358,0.3659999999999999,2.134636871508351,TP,92,2.1787709497206786
6_BB_Squeeze,LONG,38670,38759,0.3579,0.3656714285714285,2.0713966391250307,TP,89,1.8440905280804678
6_BB_Squeeze,LONG,38674,38761,0.3584,0.3666857142857143,2.2118622448979592,TP,87,2.0647321428571477
6_BB_Squeeze,LONG,38713,38725,0.3617,0.3598571428571429,-0.609498795371066,SL,12,0.7741222007188192
6_BB_Squeeze,LONG,38750,38766,0.3612,0.36925714285714295,2.130659705742782,TP,16,1.7165005537098512
6_BB_Squeeze,SHORT,38783,38806,0.3664,0.36942857142857144,-0.9265751715533395,SL,23,0.655021834061139
6_BB_Squeeze,SHORT,38784,38793,0.3645,0.36757142857142855,-0.9426415833823206,SL,9,0.05486968449930809
6_BB_Squeeze,SHORT,38785,38793,0.365,0.36817142857142854,-0.9688845401174103,SL,8,0.16438356164383272
6_BB_Squeeze,LONG,38806,38810,0.3701,0.36678571428571427,-0.9955108657891688,SL,4,0.24317751958930342
6_BB_Squeeze,LONG,38807,38812,0.3694,0.36601428571428574,-1.016544202954594,SL,5,0.0
6_BB_Squeeze,SHORT,38844,38849,0.3596,0.3625428571428571,-0.9183696170347986,SL,5,0.25027808676305796
6_BB_Squeeze,SHORT,38891,38895,0.3591,0.36307142857142854,-1.2059394518041133,SL,4,0.11138958507378334
6_BB_Squeeze,LONG,38934,39048,0.3816,0.3770142857142857,-1.301707097933518,SL,114,2.699161425576528
6_BB_Squeeze,LONG,38935,38965,0.3829,0.3783,-1.3013580569339236,SL,30,2.3504831548707252
6_BB_Squeeze,LONG,38936,38965,0.3839,0.37932857142857146,-1.290786291072821,SL,29,2.0838760093774438
6_BB_Squeeze,LONG,38937,38960,0.3856,0.38094285714285714,-1.3077652637818622,SL,23,1.6338174273858994
6_BB_Squeeze,LONG,38939,38958,0.3879,0.3830571428571429,-1.3484808308474217,SL,19,1.03119360659964
6_BB_Squeeze,LONG,38940,38957,0.388,0.38327142857142854,-1.3187039764359463,SL,17,1.0051546391752615
6_BB_Squeeze,SHORT,38960,38971,0.3803,0.38441428571428576,-1.1818526727020082,SL,11,0.65737575598212
6_BB_Squeeze,SHORT,38965,38967,0.3782,0.38227142857142854,-1.176527914179947,SL,2,0.10576414595450977
6_BB_Squeeze,SHORT,39009,39027,0.3803,0.3846714285714286,-1.24946846474588,SL,18,0.6047856955035562
6_BB_Squeeze,SHORT,39010,39027,0.3807,0.3848,-1.1769634883110043,SL,17,0.7092198581560233
6_BB_Squeeze,LONG,39027,39038,0.3841,0.38074285714285716,-0.9740283408338548,SL,11,0.18224420723769288
6_BB_Squeeze,SHORT,39047,39085,0.3784,0.3814857142857143,-0.915463606161285,SL,38,1.612050739957715
6_BB_Squeeze,LONG,39071,39074,0.3775,0.3745857142857143,-0.8719962157048219,SL,3,0.18543046357615323
6_BB_Squeeze,LONG,39085,39087,0.3816,0.3781428571428571,-1.0059598682240254,SL,2,0.0
6_BB_Squeeze,SHORT,39143,39161,0.3731,0.3613285714285714,3.055033120189922,TP,18,3.02867863843473
6_BB_Squeeze,SHORT,39144,39175,0.3719,0.3748857142857143,-0.9028271808858064,SL,31,2.984673299273998
6_BB_Squeeze,SHORT,39145,39175,0.3716,0.37455714285714287,-0.8957865600492143,SL,30,2.9063509149623186
6_BB_Squeeze,SHORT,39147,39173,0.3693,0.37241428571428575,-0.9432942632780221,SL,26,2.3016517736257804
6_BB_Squeeze,LONG,39172,39183,0.3711,0.3863,3.995931015898677,TP,11,3.4761519805982277
6_BB_Squeeze,LONG,39173,39188,0.3725,0.38798571428571427,4.057238734419938,TP,15,3.946308724832212
6_BB_Squeeze,LONG,39175,39194,0.375,0.39162857142857144,4.334285714285716,TP,19,4.266666666666671
6_BB_Squeeze,LONG,39176,39197,0.3786,0.3955142857142857,4.367587351897971,TP,21,4.437400950871628
6_BB_Squeeze,LONG,39177,39197,0.379,0.39642857142857146,4.498567659253684,TP,20,4.32717678100263
6_BB_Squeeze,LONG,39210,39217,0.3994,0.39285714285714285,-1.7381715430288256,SL,7,0.8262393590385642
6_BB_Squeeze,LONG,39211,39215,0.3999,0.39341428571428566,-1.7218340299360635,SL,4,0.7001750437609464
6_BB_Squeeze,LONG,39212,39215,0.4009,0.3944857142857143,-1.6999714927128227,SL,3,0.4489897730107318
6_BB_Squeeze,SHORT,39271,39421,0.3956,0.3757714285714285,4.9122779141990724,TP,150,4.8786653185035345
6_BB_Squeeze,SHORT,39272,39471,0.3946,0.3815,3.2198175367460715,TIME,199,5.068423720223015
6_BB_Squeeze,SHORT,39273,39472,0.3945,0.3817,3.144613434727511,TIME,199,5.044359949302922
6_BB_Squeeze,SHORT,39274,39473,0.393,0.3814,2.851653944020356,TIME,199,4.681933842239192
6_BB_Squeeze,SHORT,39341,39354,0.381,0.3845857142857143,-1.0411323584551977,SL,13,0.4986876640419981
6_BB_Squeeze,SHORT,39342,39350,0.3795,0.3832285714285714,-1.0824957651044569,SL,8,0.10540184453228234
6_BB_Squeeze,LONG,39365,39382,0.3859,0.38234285714285715,-1.0217784029911556,SL,17,1.3474993521637684
6_BB_Squeeze,LONG,39371,39379,0.3895,0.3856571428571429,-1.0866128736475207,SL,8,0.41078305519897057
6_BB_Squeeze,SHORT,39410,39435,0.3787,0.3809571428571428,-0.6960239918518211,SL,25,1.082651175072615
6_BB_Squeeze,LONG,39464,39471,0.3859,0.38242857142857145,-0.9995668752082325,SL,7,0.6478362270018144
6_BB_Squeeze,LONG,39467,39470,0.387,0.3831857142857143,-1.0856035437430787,SL,3,0.10335917312661795
6_BB_Squeeze,LONG,39507,39520,0.378,0.3754571428571428,-0.7727135298563969,SL,13,0.34391534391535006
6_BB_Squeeze,LONG,39508,39519,0.3784,0.3758142857142857,-0.7833282996073737,SL,11,0.18498942917546998
6_BB_Squeeze,LONG,39509,39514,0.3787,0.3759571428571428,-0.824282319212347,SL,5,0.0
6_BB_Squeeze,LONG,39548,39560,0.3784,0.3757285714285714,-0.8059800664451909,SL,12,0.07928118393233799
6_BB_Squeeze,SHORT,39560,39573,0.3738,0.37625714285714285,-0.7573415883207127,SL,13,0.2942750133761491
6_BB_Squeeze,SHORT,39561,39567,0.3728,0.3753,-0.7706008583690992,SL,6,0.026824034334775884
6_BB_Squeeze,SHORT,39603,39726,0.3776,0.36560000000000004,3.077966101694903,TP,123,2.9925847457627057
6_BB_Squeeze,SHORT,39604,39726,0.378,0.3660571428571429,3.0594860166288593,TP,122,3.0952380952380922
6_BB_Squeeze,SHORT,39653,39656,0.3667,0.36974285714285715,-0.9297946939888532,SL,3,0.10908099263703612
6_BB_Squeeze,LONG,39670,39676,0.372,0.37005714285714286,-0.6222734254992298,SL,6,0.13440860215053776
6_BB_Squeeze,LONG,39690,39696,0.3757,0.37289999999999995,-0.8452754857599214,SL,6,0.18631887143998777
6_BB_Squeeze,LONG,39691,39696,0.3754,0.37257142857142855,-0.8534820001522264,SL,5,0.0
6_BB_Squeeze,SHORT,39725,39777,0.3678,0.3695857142857143,-0.5855123125922456,SL,52,0.9244154431756426
6_BB_Squeeze,SHORT,39726,39761,0.367,0.3690142857142857,-0.6488516932658558,SL,35,0.7084468664850112
6_BB_Squeeze,SHORT,39727,39753,0.3668,0.3688142857142857,-0.6491509580931544,SL,26,0.6543075245365357
6_BB_Squeeze,SHORT,39729,39733,0.3659,0.36797142857142856,-0.666118767813216,SL,4,0.40994807324405613
6_BB_Squeeze,LONG,39746,39844,0.3679,0.37618571428571423,2.152164796334392,TP,98,2.011416145691769
6_BB_Squeeze,LONG,39752,39865,0.3686,0.37751428571428575,2.3184171769630395,TP,113,2.1432447097124308
6_BB_Squeeze,LONG,39777,39818,0.3702,0.36807142857142855,-0.6749787759512221,SL,41,0.6753106428957327
6_BB_Squeeze,LONG,39778,39803,0.3706,0.36828571428571427,-0.7244699714748282,SL,25,0.37776578521317117
6_BB_Squeeze,LONG,39779,39818,0.3704,0.36805714285714286,-0.7325208269052771,SL,39,0.6209503239740736
6_BB_Squeeze,SHORT,39802,39806,0.3684,0.37024285714285715,-0.6002326663564457,SL,4,0.05428881650379423
6_BB_Squeeze,LONG,39863,39882,0.3757,0.3854714285714285,2.5008593482641848,TP,19,2.475379291988297
6_BB_Squeeze,LONG,39865,39902,0.378,0.38839999999999997,2.6513227513227418,TP,37,2.6190476190476244
