entry_idx,exit_idx,entry_price,exit_price,pnl_gross,pnl_net,exit_reason,entry_rsi,entry_bb_dist,entry_atr,entry_bb_width,entry_volume_ratio,entry_hour,entry_trend_15m,entry_distance_from_sma50,hold_bars
21328,21330,4.02e-06,4.003928571428571e-06,-0.003997867803837929,-0.004997867803837929,SL,14.285714285714107,-0.045078131957094834,1.0714285714285671e-08,1.5389608609749277,1.9077226362683428,8,0,-1.2624649997543858,2
21331,21332,4e-06,3.986071428571429e-06,-0.003482142857142767,-0.004482142857142767,SL,14.285714285714107,-0.02034273708739403,9.285714285714258e-09,2.111345366738849,1.6340720331340748,8,0,-1.6328939602596868,1
21417,21418,4.03e-06,4.042857142857143e-06,0.0031903580290675304,0.0021903580290675304,TP,33.33333333333333,-0.11491254015094611,6.428571428571367e-09,0.7094935509162623,0.3504834081950739,9,0,0.19392372333549207,1
21436,21443,4.01e-06,3.992857142857142e-06,-0.004275026718916997,-0.005275026718916997,SL,27.272727272727067,-0.30319385719422304,1.142857142857138e-08,1.54458871045521,0.5832062089298715,10,0,-0.8652657601977877,7
21538,21539,4.06e-06,4.07e-06,0.0024630541871921707,0.0014630541871921707,TP,33.33333333333333,-0.09928898296760684,4.999999999999952e-09,0.5870883632426027,1.0856372419390714,12,0,-0.4023157688156104,1
21542,21547,4.06e-06,4.049285714285714e-06,-0.002638986629134421,-0.003638986629134421,SL,40.0,-0.043659382664282105,7.142857142857074e-09,0.67361819812428,0.375384386645969,12,0,-0.39742897796967636,5
21548,21553,4.03e-06,4.0485714285714285e-06,0.004608294930875445,0.003608294930875445,TP,33.33333333333333,-0.23045829929307832,9.285714285714197e-09,1.3861623775623817,5.463816514001592,12,0,-1.0800196367206656,5
21587,21588,4.03e-06,4.021428571428572e-06,-0.002126905352711761,-0.003126905352711761,SL,28.57142857142857,-0.0740999158841755,5.71428571428572e-09,0.8154863048558805,2.662392138199985,12,0,-0.4987408029233185,1
21599,21600,4.01e-06,3.992857142857142e-06,-0.004275026718916997,-0.005275026718916997,SL,36.3636363636363,-0.11735695872172314,1.1428571428571561e-08,1.0795717394402573,3.0649401769372897,13,0,-0.8407517309594672,1
21601,21609,4e-06,4.025714285714285e-06,0.00642857142857145,0.00542857142857145,TP,36.3636363636363,-0.107607148432869,1.2857142857142915e-08,1.3981935451406593,1.7761925672359016,13,0,-1.0537772720526453,8
21695,21697,4.06e-06,4.078571428571428e-06,0.004574243490499619,0.0035742434904996187,TP,40.0,-0.03784362176018215,9.285714285714197e-09,0.513898196841389,0.11828592863874272,14,0,0.30139829042938127,2
21702,21707,4.05e-06,4.0671428571428575e-06,0.004232804232804366,0.0032328042328043658,TP,33.33333333333333,-0.10127046753267556,8.571428571428489e-09,0.7810510217570243,1.238622873188313,14,0,-0.14792899408283047,5
21758,21760,4.05e-06,4.036071428571429e-06,-0.003439153439153353,-0.004439153439153353,SL,33.33333333333333,-0.12536343604371847,9.285714285714197e-09,0.6595260107885605,4.039192156558462,15,0,-0.5158437730287474,2
21761,21762,4.03e-06,4.0485714285714285e-06,0.004608294930875445,0.003608294930875445,TP,25.000000000000014,-0.10614342320675187,9.285714285714197e-09,1.4380644690807451,0.0,15,0,-0.9487292926313703,1
21843,21845,4.07e-06,4.087142857142857e-06,0.004212004212004183,0.0032120042120041834,TP,33.33333333333333,-0.2528457258849167,8.571428571428489e-09,0.7414524770279343,1.144887571318692,17,0,-0.4549234456782304,2
21893,21895,4.07e-06,4.082857142857142e-06,0.003159003159002971,0.002159003159002971,TP,25.000000000000014,-0.04997842817597807,6.428571428571367e-09,0.5859383370556255,0.7523283574033977,17,0,-0.406205647726716,2
22053,22055,4.08e-06,4.066071428571429e-06,-0.0034138655462183642,-0.004413865546218364,SL,40.0,-0.014942256314515005,9.285714285714258e-09,0.9215887222430068,1.2994183188909776,20,0,-0.390624999999988,2
22248,22250,4.12e-06,4.132857142857143e-06,0.003120665742024853,0.002120665742024853,TP,37.5,-0.09900267671682753,6.428571428571367e-09,0.672646084436414,2.4221064704732,23,0,-0.5407493240633445,2
22289,22296,4.11e-06,4.097142857142856e-06,-0.0031282586027112647,-0.004128258602711265,SL,28.57142857142823,-0.18843199652411355,8.57142857142855e-09,0.8579772299811405,2.221353675581735,0,0,-0.5805515239477734,7
22342,22343,4.13e-06,4.147142857142858e-06,0.0041508128675198375,0.0031508128675198374,TP,37.5,-0.03864858215633592,8.571428571428489e-09,0.7188325775954496,0.9633563744681227,1,0,0.09209442101691293,1
22434,22447,4.16e-06,4.18e-06,0.004807692307692291,0.0038076923076922906,TP,33.33333333333333,-0.06803297421563771,9.999999999999904e-09,0.8214306943442603,0.12084810354692034,2,0,-0.2493765586034897,13
22646,22670,4.18e-06,4.163928571428571e-06,-0.0038448393711552065,-0.0048448393711552065,SL,37.50000000000026,-0.10831293045157381,1.0714285714285853e-08,0.8787823146832151,0.2212818459933359,6,0,-0.6559558893431024,24
22685,22686,4.15e-06,4.1571428571428575e-06,0.001721170395869276,0.0007211703958692759,TP,25.000000000000014,-0.06368380520776253,3.571428571428537e-09,0.7368252363780127,1.5896657644331997,7,0,-0.7509446596833653,1
22688,22689,4.15e-06,4.16e-06,0.002409638554216942,0.0014096385542169418,TP,33.33333333333333,-0.005914011079728456,4.999999999999952e-09,0.7802498031675911,1.3436461388938392,7,0,-0.6844397645144314,1
22755,22756,4.15e-06,4.154285714285714e-06,0.001032702237521388,3.270223752138788e-05,TP,33.33333333333333,-0.04125502838531259,2.1428571428571222e-09,0.4703693240364756,6.157201212638429,8,0,-0.16839066634590466,1
22775,22784,4.15e-06,4.1571428571428575e-06,0.001721170395869276,0.0007211703958692759,TP,33.33333333333333,-0.037023220598052624,3.571428571428537e-09,0.5027855495515888,0.5219117672891653,8,0,-0.2787389465590164,9
22824,22827,4.16e-06,4.167142857142857e-06,0.001717032967033072,0.0007170329670330719,TP,33.33333333333333,-0.057752531372267,3.571428571428537e-09,0.5795236021319646,1.069683462045943,9,0,-0.23502326250660252,3
22929,22930,4.14e-06,4.15e-06,0.0024154589371980784,0.0014154589371980783,TP,33.33333333333333,-0.08215210733875764,4.999999999999952e-09,0.5821733310474837,5.621095748963666,11,0,-0.3226272451485466,1
22935,22945,4.13e-06,4.142857142857143e-06,0.0031131096506398226,0.0021131096506398226,TP,37.5,-0.039856778357574084,6.428571428571367e-09,0.8844943959425656,2.739935756311877,11,0,-0.5154887507828765,10
22980,22981,4.15e-06,4.1571428571428575e-06,0.001721170395869276,0.0007211703958692759,TP,25.000000000000014,-0.04232282762887755,3.571428571428537e-09,0.5640859364302696,2.6204445058604087,12,0,-0.11072064699369187,1
23026,23027,4.17e-06,4.178571428571428e-06,0.0020554984583760483,0.0010554984583760483,TP,33.33333333333333,-0.086179948730336,4.2857142857142444e-09,0.7116245154331597,0.7573284281884144,12,0,-0.3250788794339643,1
23049,23054,4.16e-06,4.168571428571428e-06,0.002060439560439553,0.001060439560439553,TP,25.000000000000014,-0.042221133021304404,4.2857142857142444e-09,0.5627343467816885,0.5920816740953111,13,0,-0.5736137667304042,5
23128,23131,4.15e-06,4.161428571428572e-06,0.002753872633390664,0.0017538726333906638,TP,20.0,-0.057529752762751525,5.71428571428566e-09,0.653439316161462,2.90056403708788,14,0,-0.6654219924362098,3
23149,23159,4.15e-06,4.140357142857143e-06,-0.002323580034423345,-0.003323580034423345,SL,33.33333333333333,-0.06887928079600086,6.428571428571367e-09,0.5829310723842845,0.04806215476105139,14,0,-0.4796163069544319,10
23186,23188,4.15e-06,4.165714285714286e-06,0.0037865748709122737,0.0027865748709122737,TP,37.5,-0.03794194991619802,7.857142857142781e-09,0.548873957300785,0.8531288035540493,15,0,-0.2547709464980899,2
23275,23277,4.18e-06,4.163928571428571e-06,-0.0038448393711552065,-0.0048448393711552065,SL,27.272727272727067,-0.3757559160279041,1.0714285714285671e-08,1.077831534416683,2.7663161617561602,16,0,-0.5708848715509065,2
23278,23377,4.16e-06,4.182857142857143e-06,0.005494505494505475,0.004494505494505475,TP,19.99999999999983,-0.14379369704231693,1.142857142857138e-08,2.0907158356240907,1.025044552048523,17,0,-0.9853858237730315,99
23450,23451,4.21e-06,4.217142857142858e-06,0.0016966406515099841,0.0006966406515099841,TP,0.0,-0.018365870270207713,3.571428571428537e-09,0.6498593835982108,0.17603149091518416,19,0,-0.1328399278868862,1
23455,23458,4.2e-06,4.193571428571428e-06,-0.001530612244898033,-0.002530612244898033,SL,19.99999999999966,-0.0948727880778572,4.285714285714305e-09,0.7824456322952403,1.4616194489903642,19,0,-0.43618433529301476,3
23461,23462,4.19e-06,4.198571428571428e-06,0.002045687009887498,0.001045687009887498,TP,19.99999999999966,-0.013919030683814808,4.285714285714305e-09,0.9696847032169513,0.8282475390575945,20,0,-0.6685316011568916,1
23528,23532,4.18e-06,4.192857142857143e-06,0.0030758714969241208,0.0020758714969241207,TP,37.500000000000796,-0.09453178418909407,6.42857142857173e-09,0.8114654858614428,0.17847215319453394,21,0,-0.5614235417261414,4
23585,23598,4.22e-06,4.237142857142858e-06,0.004062288422478133,0.003062288422478133,TP,40.0,-0.014446613300533073,8.571428571428489e-09,0.891155317024898,0.9698476581864104,22,0,-0.24583963691376548,13
23642,23647,4.2e-06,4.1860714285714285e-06,-0.0033163265306122014,-0.004316326530612201,SL,33.33333333333286,-0.19421711085970203,9.285714285714258e-09,0.6786031021883039,3.0479554604285415,23,0,-0.6011265205661153,5
23701,23704,4.14e-06,4.155714285714286e-06,0.003795721187025425,0.002795721187025425,TP,36.36363636363636,-0.03886737933383521,7.857142857142781e-09,0.908076665482799,0.1741189327285573,0,0,-0.5811440372700567,3
