entry_time,exit_time,direction,entry_price,exit_price,pnl_pct,pnl_usd,exit_reason,strategy
2025-07-16 18:10:00,2025-07-16 19:05:00,SHORT,1.35099,1.3224785000000001,2.1559140658997222,80.16520583169637,TARGET,MEAN_REV_SHORT
2025-07-16 20:05:00,2025-07-16 20:25:00,LONG,1.31924,1.3390285999999998,1.4999999999999902,56.01628494486843,TARGET,EMA_PB_LONG
2025-07-16 20:45:00,2025-07-16 21:25:00,SHORT,1.34542,1.365254141776493,-1.4527801945126706,-54.415658257398604,STOP,MEAN_REV_SHORT
2025-07-16 21:30:00,2025-07-16 22:00:00,LONG,1.34256,1.3626983999999998,1.4999999999999902,56.02108682493083,TARGET,EMA_PB_LONG
2025-07-16 22:20:00,2025-07-16 22:30:00,SHORT,1.39547,1.4004901632011573,-0.3584575838563864,-13.427617985705664,STOP,MEAN_REV_SHORT
2025-07-16 22:40:00,2025-07-16 22:45:00,SHORT,1.38341,1.368401,1.0968276112046205,41.05708527821031,TARGET,MEAN_REV_SHORT
2025-07-16 22:45:00,2025-07-16 22:50:00,LONG,1.36589,1.38637835,1.4999999999999902,56.27203848728314,TARGET,EMA_PB_LONG
2025-07-16 23:15:00,2025-07-16 23:20:00,LONG,1.37,1.39055,1.4999999999999902,56.44085460274499,TARGET,EMA_PB_LONG
2025-07-16 23:50:00,2025-07-17 00:00:00,SHORT,1.43606,1.4457279660222366,-0.6687264996911635,-25.23781708232401,STOP,MEAN_REV_SHORT
2025-07-17 01:00:00,2025-07-17 01:35:00,LONG,1.44268,1.403261016765989,-2.7323441951098704,-102.98107583744509,STOP,EMA_PB_LONG
2025-07-17 01:35:00,2025-07-17 01:45:00,LONG,1.41704,1.3955906256237385,-1.5136745876094926,-56.7380943583274,STOP,BB_BOUNCE_LONG
2025-07-17 01:50:00,2025-07-17 03:05:00,LONG,1.38976,1.3751166946861773,-1.0536571288440322,-39.375381994758406,STOP,BB_BOUNCE_LONG
