entry_idx,exit_idx,direction,entry_price,exit_price,exit_type,pnl_pct,position_size,timestamp,weighted_pnl,size_mult
27224,27247,SHORT,2938.96,2944.8214285714284,SL,-0.19943886855991252,100.0,2025-11-25 21:41:00,-0.19943886855991252,1.0
27265,27266,LONG,2931.2,2926.1314285714284,SL,-0.17291796631316292,130.0,2025-11-25 22:00:00,-0.2247933562071118,1.3
27267,27269,LONG,2924.13,2918.681428571429,SL,-0.18633136791357038,91.0,2025-11-25 22:03:00,-0.16956154480134905,0.91
27270,27282,LONG,2911.38,2925.351428571428,TP,0.4798902435074802,100.0,2025-11-25 22:16:00,0.4798902435074802,1.0
27291,27301,SHORT,2930.42,2939.2514285714287,SL,-0.30137074451541623,60.0,2025-11-25 22:35:00,-0.18082244670924974,0.6
27302,27303,SHORT,2943.03,2949.8314285714287,SL,-0.2311029303618536,130.0,2025-11-25 22:37:00,-0.30043380947040965,1.3
27304,27306,SHORT,2946.68,2954.5414285714282,SL,-0.2667893551871396,100.0,2025-11-25 22:40:00,-0.2667893551871396,1.0
27307,27323,SHORT,2949.53,2957.442857142857,SL,-0.26827518766911557,70.0,2025-11-25 22:57:00,-0.1877926313683809,0.7
27324,27376,SHORT,2977.04,2958.6,TP,0.6194071964098586,78.0,2025-11-25 23:50:00,0.48313761319968973,0.78
27377,27406,LONG,2956.11,2966.2757142857145,TP,0.3438882276273322,91.0,2025-11-26 00:20:00,0.3129382871408723,0.91
27408,27414,SHORT,2967.38,2955.371428571429,TP,0.40468600005968325,70.0,2025-11-26 00:28:00,0.28328020004177823,0.7
27473,27477,SHORT,2961.41,2966.4414285714283,SL,-0.16989976299899298,130.0,2025-11-26 01:31:00,-0.22086969189869088,1.3
27478,27488,SHORT,2971.46,2978.0942857142854,SL,-0.22326686929271797,130.0,2025-11-26 01:42:00,-0.29024693008053337,1.3
27489,27531,SHORT,2981.05,2964.858571428572,TP,0.5431451525948351,100.0,2025-11-26 02:25:00,0.5431451525948351,1.0
