strategy,exit_method,session,total_trades,total_return_pct,win_rate,profit_factor,avg_win,avg_loss,max_drawdown,sharpe_ratio,avg_duration,largest_win,largest_loss
period_4_breakout,fixed_rr_1.5,all,295,-26.75,42.37,0.94,3.18,-2.43,47.2,-0.24,17.7,13.47,-10.99
green_above_ema50,fixed_rr_1.0,all,1150,-28.93,47.48,0.94,1.03,-0.97,33.8,-0.27,3.1,7.88,-6.47
green_above_sma20,fixed_rr_1.0,all,1235,-30.08,45.75,0.93,1.03,-0.91,53.4,-0.27,3.1,9.94,-6.47
session_open_breakout,fixed_rr_1.0,all,206,-30.37,46.12,0.74,1.18,-1.31,36.79,-1.73,4.5,3.92,-4.86
price_cross_ema50,trail_atr_2.0,all,283,-30.44,36.75,0.82,1.55,-1.08,49.86,-0.95,6.8,12.99,-4.42
price_cross_ema10,fixed_rr_1.0,all,363,-31.67,48.48,0.9,2.1,-2.13,50.65,-0.52,10.6,6.42,-7.7
ema_5_20_cross,fixed_rr_1.0,all,217,-31.71,47.93,0.84,1.76,-1.93,48.57,-1.14,8.5,6.78,-5.64
session_open_breakout,trail_atr_2.0,all,217,-35.5,28.11,0.67,1.52,-0.86,43.72,-2.01,5.3,9.12,-4.86
prev_candle_breakout,fixed_rr_1.0,all,1087,-35.66,48.3,0.92,1.22,-1.2,52.95,-0.31,4.2,7.83,-8.0
price_cross_ema50,trail_atr_1.5,all,320,-35.66,37.81,0.74,0.99,-0.81,43.46,-1.61,4.2,7.96,-3.26
rsi14_oversold_35,trail_atr_2.0,all,276,-35.84,30.07,0.74,1.67,-0.93,52.01,-1.52,6.8,6.55,-4.2
rsi14_oversold_30,trail_atr_1.5,all,217,-38.08,31.34,0.62,1.16,-0.84,42.16,-2.76,4.5,4.63,-3.66
ema_5_20_cross,fixed_rr_1.5,all,207,-38.17,39.13,0.83,2.43,-1.91,52.09,-1.31,11.2,7.0,-5.64
session_open_breakout,trail_atr_1.5,all,226,-38.83,30.09,0.55,1.05,-0.75,47.44,-2.9,3.5,4.63,-4.86
green_candle_basic,fixed_rr_1.0,all,1667,-40.72,47.63,0.93,1.06,-1.01,52.34,-0.29,3.5,7.83,-6.38
ema50_pullback,trail_atr_2.0,all,411,-42.23,30.66,0.75,1.37,-0.78,49.17,-1.34,5.1,10.54,-3.95
green_candle_2_consec,time_based_4,all,977,-43.73,40.33,0.87,1.3,-0.97,53.88,-0.5,3.4,9.4,-4.89
rsi14_oversold_35,trail_atr_1.5,all,297,-44.55,29.97,0.61,1.14,-0.76,52.9,-2.57,4.2,4.99,-3.66
ema_5_20_cross,trail_atr_2.0,all,244,-48.15,33.61,0.69,1.54,-1.17,56.87,-2.14,6.7,12.99,-4.31
ema50_pullback,trail_atr_1.5,all,507,-55.55,32.54,0.62,0.89,-0.66,56.89,-2.25,3.4,9.94,-3.95
period_12_breakout,trail_atr_2.0,all,309,-55.93,33.01,0.65,1.52,-1.13,57.1,-2.15,5.9,12.99,-5.29
rsi7_oversold_30,trail_atr_2.0,all,460,-58.02,30.22,0.7,1.57,-0.93,67.37,-1.83,6.4,10.31,-3.08
rsi7_oversold_30,trail_atr_1.5,all,487,-58.94,33.06,0.65,1.12,-0.82,62.01,-2.2,4.2,7.49,-3.66
rsi14_momentum_50,trail_atr_2.0,all,397,-59.37,32.49,0.72,1.59,-1.08,63.53,-1.88,6.6,12.99,-4.42
breakout_8_above_ema20,trail_atr_2.0,all,357,-60.04,34.17,0.65,1.5,-1.15,61.18,-2.1,6.2,12.99,-5.29
ema20_pullback,trail_atr_2.0,all,498,-60.77,31.93,0.68,1.34,-0.89,61.21,-1.84,5.3,12.99,-3.95
period_8_breakout,trail_atr_2.0,all,359,-60.97,34.26,0.65,1.55,-1.19,62.23,-2.08,6.2,12.99,-6.5
price_cross_ema20,trail_atr_2.0,all,399,-61.61,34.09,0.71,1.47,-1.1,66.81,-2.11,7.1,10.54,-4.42
price_cross_sma20,trail_atr_2.0,all,402,-66.51,32.09,0.68,1.53,-1.1,69.63,-2.45,6.9,10.54,-4.42
prev_candle_breakout,trail_atr_2.0,all,804,-67.39,29.1,0.76,1.66,-0.86,71.76,-1.22,5.5,12.99,-8.0
rsi14_momentum_50,trail_atr_1.5,all,462,-67.64,31.6,0.56,0.94,-0.78,68.35,-3.3,3.9,9.33,-3.26
ema_5_20_cross,trail_atr_1.5,all,260,-68.31,25.38,0.34,0.85,-0.88,69.72,-7.01,3.7,2.73,-3.26
price_cross_ema20,trail_atr_1.5,all,472,-69.34,32.42,0.55,0.97,-0.82,70.88,-3.23,4.2,9.33,-3.55
period_4_breakout,trail_atr_2.0,all,496,-70.04,33.47,0.67,1.54,-1.12,71.4,-2.01,6.5,12.99,-7.7
rsi7_momentum_50,trail_atr_2.0,all,488,-70.94,33.2,0.66,1.52,-1.11,73.63,-2.21,7.1,12.38,-4.71
period_12_breakout,trail_atr_1.5,all,400,-71.43,29.75,0.47,1.0,-0.86,72.23,-4.08,3.1,9.32,-3.62
green_above_ema50,trail_atr_2.0,all,799,-72.59,25.78,0.67,1.4,-0.69,72.54,-1.8,4.4,12.99,-3.48
ema20_pullback,trail_atr_1.5,all,627,-73.13,30.46,0.57,0.97,-0.72,73.26,-2.96,3.5,9.33,-3.95
price_cross_sma20,trail_atr_1.5,all,467,-74.7,29.12,0.51,1.0,-0.81,75.56,-3.93,4.0,9.33,-3.26
breakout_8_above_ema20,trail_atr_1.5,all,468,-75.54,29.06,0.48,1.04,-0.84,76.17,-3.94,3.3,9.32,-3.62
period_8_breakout,trail_atr_1.5,all,473,-76.28,29.18,0.47,1.05,-0.86,76.89,-3.91,3.3,9.32,-4.45
green_above_ema20,trail_atr_2.0,all,915,-76.68,24.26,0.64,1.42,-0.66,77.85,-1.83,4.1,12.99,-3.75
rsi7_momentum_50,trail_atr_1.5,all,608,-77.97,32.24,0.54,0.99,-0.83,79.04,-3.28,4.2,6.94,-3.66
green_above_sma20,trail_atr_2.0,all,886,-78.82,23.59,0.61,1.42,-0.66,79.17,-2.12,4.1,12.99,-3.75
green_candle_min_size,trail_atr_2.0,all,869,-80.05,29.0,0.72,1.58,-0.89,80.96,-1.78,5.7,12.99,-5.29
price_cross_ema10,trail_atr_2.0,all,522,-80.18,32.38,0.61,1.41,-1.11,82.45,-2.88,7.0,10.54,-7.7
period_4_breakout,trail_atr_1.5,all,645,-82.44,31.01,0.52,1.05,-0.85,82.71,-3.34,3.6,9.32,-7.7
price_cross_ema10,trail_atr_1.5,all,652,-83.06,31.9,0.51,0.98,-0.85,83.54,-3.52,4.2,9.33,-7.7
green_candle_2_consec,trail_atr_2.0,all,678,-84.19,29.5,0.61,1.54,-1.01,85.37,-2.59,6.0,11.13,-4.2
green_candle_basic,trail_atr_2.0,all,1075,-87.42,26.23,0.65,1.45,-0.76,87.64,-2.12,5.1,12.99,-3.85
green_above_ema50,trail_atr_1.5,all,993,-89.03,27.09,0.51,0.96,-0.65,89.05,-3.41,3.0,9.94,-3.95
prev_candle_breakout,trail_atr_1.5,all,1035,-89.11,28.31,0.59,1.14,-0.74,89.23,-2.73,3.4,9.94,-8.0
green_above_ema20,trail_atr_1.5,all,1153,-90.74,26.28,0.51,0.99,-0.62,91.04,-3.18,2.9,9.94,-3.48
green_candle_2_consec,trail_atr_1.5,all,929,-90.98,29.39,0.53,1.08,-0.8,90.98,-3.55,3.7,5.35,-3.81
