entry_time,entry_idx,exit_idx,entry_price,exit_price,pnl_pct,winner,exit_reason,equity,drawdown,bars_held,regime,regime_confidence
2025-03-21 15:30:00,5574,5583,0.3549,0.372645,-5.010000000000003,False,SL,0.6880609391668309,41.343188140069195,9,Favorable,Low
2025-03-25 12:00:00,5944,5949,0.5309,0.5574450000000001,-5.010000000000008,False,SL,0.6535890861145727,44.281894414251724,5,Favorable,Low
2025-03-26 21:30:00,6078,6096,0.5441,0.5713050000000001,-5.010000000000006,False,SL,0.6208442729002326,47.07337150409771,18,Highly Favorable,High
2025-03-27 15:30:00,6150,6212,0.5484,0.50727,7.489999999999999,True,TP,0.66734550894046,43.10916702975464,62,Favorable,Medium
2025-03-28 12:45:00,6235,6257,0.4983,0.46092750000000005,7.489999999999994,True,TP,0.7173296875601004,38.84804364028326,22,Highly Favorable,High
2025-03-29 00:45:00,6283,6316,0.4619,0.4272575,7.489999999999992,True,TP,0.7710576811583519,34.26776210894047,33,Favorable,Medium
2025-03-30 00:15:00,6377,6389,0.4129,0.433545,-5.010000000000006,False,SL,0.7324276913323184,37.56094722728256,12,Favorable,Medium
2025-03-30 06:15:00,6401,6441,0.4229,0.444045,-5.010000000000006,False,SL,0.6957330639965693,40.6891437711957,40,Favorable,Low
2025-04-06 16:00:00,7112,7123,0.4555,0.42133750000000003,7.489999999999997,True,TP,0.7478434704899123,36.24676063965826,11,Highly Favorable,High
2025-04-06 20:45:00,7131,7136,0.4387,0.460635,-5.010000000000009,False,SL,0.7103765126183677,39.440797931611385,5,Favorable,Medium
2025-04-06 23:00:00,7140,7149,0.4348,0.45654000000000006,-5.010000000000009,False,SL,0.6747866493361874,42.474813955237664,9,Highly Favorable,High
2025-04-07 04:00:00,7160,7170,0.4443,0.4109775,7.489999999999995,True,TP,0.7253281693714678,38.166177520484965,10,Favorable,Low
2025-04-12 13:00:00,7676,7680,0.8774,0.92127,-5.010000000000009,False,SL,0.6889892280859573,41.26405202670866,4,Favorable,Low
