strategy,exit_config,num_trades,total_return,win_rate,avg_win,avg_loss,profit_factor,max_drawdown,sharpe_ratio
vol_climax_2x,fixed_rr_2.5,18,2.6521961575919573,27.77777777777778,3.869134876936074,1.1960771562145114,1.2441745844652494,11.58941359516692,0.23989169178883826
consec_greens_3,fixed_rr_2.0,100,1.808409755057827,28.999999999999996,1.141372652326372,0.4250814105988538,1.0967180685918279,11.998493433775202,0.18775233290968227
consec_greens_3,fixed_pct_0.05,67,1.7546446822875872,5.970149253731343,7.221303874041559,0.40962860549534685,1.1192955714401127,13.299487877039729,0.18196382238124756
vol_climax_2x,fixed_rr_2.0,18,1.567263695583776,27.77777777777778,3.651943754936492,1.1960771562145114,1.174333733071266,11.699569995731895,0.17280922670834103
mean_rev_ema20_2pct,time_based_8,31,1.0912909997730758,45.16129032258064,1.7807275908365854,1.3599924018488536,1.0783012783021537,6.784738654626085,0.14934746680268893
mean_rev_ema50_3pct,fixed_pct_0.02,38,0.9587376282066851,50.0,1.990100000000001,1.889093173882148,1.053468419405847,8.175751872380935,0.13924750922097429
ema_10_50_cross_down,fixed_rr_1.0,105,0.5290431346559377,48.57142857142857,1.013119410396201,0.9315630942070834,1.0271284947392108,16.713814564743164,0.10516518408266111
mean_rev_ema50_3pct,fixed_rr_1.0,36,0.0518010096152377,52.77777777777778,1.9812409234344277,2.1329281651546466,1.0381634632954237,10.478937428968916,0.08482382388012134
consec_greens_4,fixed_pct_0.05,39,-0.08556415717791976,5.128205128205128,9.779858678870752,0.4996227839686082,1.058080269017324,15.678481846115233,0.06775235267738815
ema50_rej_2.0pct,fixed_pct_0.02,54,-0.09777176999964388,35.18518518518518,1.9901000000000024,1.0625814909997473,1.0167126090099174,8.499610001979933,0.051894602643421224
consec_greens_3,fixed_pct_0.02,419,-0.4201463879954015,17.899761336515514,1.9901000000000026,0.42893504456359616,1.0115472887900603,15.239965389856344,0.08248431261524035
rsi7_ob70,rsi_exit_50,480,-0.5517349798367155,36.666666666666664,0.5389069367243194,0.31068422053632816,1.004231088086154,11.74067139286427,0.028980056655874435
ema50_rej_2.0pct,rsi_exit_50,55,-0.9229009745099548,41.81818181818181,1.3789927742506123,0.9996286739486054,0.9915192334144531,8.711047251567146,-0.023676472722021526
ema50_rej_2.0pct,fixed_pct_0.05,52,-1.2558244159167176,17.307692307692307,4.990250000000007,1.0394110938987828,1.0048679837683832,11.532297196973104,0.012520870456721464
double_top_12,fixed_pct_0.02,389,-2.0556566023240186,23.90745501285347,1.9901000000000029,0.6232703270891431,1.003204995055023,22.162640387593598,0.02552699004152841
ema50_rej_2.0pct,fixed_rr_1.0,37,-2.478659328735411,59.45945945945946,0.9130277779896492,1.47768347193632,0.90622073884566,7.020689311668001,-0.2258125062295411
ema50_rej_2.0pct,time_based_8,56,-2.963451858493915,35.714285714285715,1.5351191437437168,0.9130474573701667,0.9340631331507563,9.076720315584907,-0.16589115678286626
mean_rev_ema20_2pct,fixed_rr_2.5,11,-3.0755162647853163,27.27272727272727,5.939080243505217,2.4194693132172405,0.9205138825889639,16.51791603522771,-0.08359936575788407
rsi7_ob70,time_based_16,429,-3.4390372699184657,21.678321678321677,1.2465995296452352,0.350116785310912,0.9855024258111115,20.852543606485842,-0.08963422806026668
ema50_rej_2.0pct,fixed_rr_2.5,33,-3.726792010915181,36.36363636363637,2.092294298671623,1.3431731284549377,0.8901285446898227,8.422061662040841,-0.26259592332022597
mean_rev_ema20_2.5pct,fixed_pct_0.02,19,-3.793809091753564,47.368421052631575,1.9901000000000018,2.113592690957815,0.8474149289323737,8.175751872380932,-0.2886703101598924
ema_10_50_cross_down,fixed_rr_2.5,89,-4.003551267498818,24.719101123595504,2.5756707508479746,0.8853775912836065,0.9552338380065089,19.664146909855255,-0.155595391665884
ema50_rej_2.0pct,fixed_rr_2.0,33,-4.034067579194279,42.42424242424242,1.6516669192923896,1.4024199945331972,0.8677983305635979,8.635486258052032,-0.3245868670624039
ema_5_20_cross_down,rsi_exit_50,275,-4.512063638381536,45.81818181818182,0.3543927412737317,0.3282754921737374,0.9129156108954742,9.649410847217014,-0.5030886653977718
mean_rev_ema20_2.5pct,fixed_rr_2.0,17,-4.6381144941219805,29.411764705882355,5.120534346487181,2.3810035410261006,0.8960742564807483,14.528992564822774,-0.15419819751908312
failed_breakout_12,time_based_16,310,-5.155721341676889,39.35483870967742,1.2391224293492102,0.8118987711807879,0.9904084009847101,17.180973804884236,-0.052372712936845915
ema20_rej_2.0pct,time_based_8,23,-5.448351219614489,30.434782608695656,2.1559463756535115,1.2554860908345702,0.7512839419203857,8.61478105571346,-0.45181336430265245
ema_10_50_cross_down,fixed_pct_0.02,103,-5.668294082689784,28.155339805825243,1.9469063921163756,0.829061564127738,0.9202897135216221,16.555680944138505,-0.35550416920352956
mean_rev_ema20_2.5pct,fixed_rr_1.0,17,-5.786585199798855,47.05882352941176,2.2656266382087225,2.573707250317931,0.7824861762446539,10.214779944146901,-0.374107452564711
ema20_rej_2.0pct,fixed_pct_0.02,23,-5.994701708221828,30.434782608695656,1.990100000000003,1.2336909843062625,0.705742978651661,7.644411483681844,-0.6824701115755704
consec_greens_4,fixed_rr_1.0,157,-6.065177541613142,47.13375796178344,0.48422474295702433,0.5026035031947702,0.8589642586726036,9.475843256193984,-0.6838435016227469
ema_10_50_cross_down,fixed_rr_2.0,90,-6.189745106920796,31.11111111111111,1.8572489887966737,0.9238354097872216,0.9079080526225363,19.347059809922545,-0.35162653522519693
ema20_rej_2.0pct,time_based_16,23,-6.212876052261917,13.043478260869565,5.699317709139527,1.132517068905542,0.7548651405290494,10.746749724327662,-0.417154139250203
ema50_rej_2.0pct,time_based_16,53,-6.600544778075812,22.641509433962266,2.929758984223643,0.9938845809793866,0.8627666137671016,11.137343886986532,-0.35118458459309293
ema50_rej_2.0pct,fixed_rr_1.5,33,-6.9971723340665815,45.45454545454545,1.2562402974801643,1.4225136309097683,0.7359275101619097,9.32587166034296,-0.6908800672089651
