trade_num,entry_time,exit_time,signal_price,limit_price,max_price,stop,target,filled,result,actual_entry,exit_price,gross_pnl_pct,entry_fee_pct,exit_fee_pct,total_fee_pct,profit_after_fees_pct,winner,profit_after_fees_dollar,running_balance
61,2025-11-26 13:37:00,2025-11-26 13:40:00,2921.46,2922.482511,2930.72,2927.7785714285715,2908.822857142857,YES,STOP,2922.482511,2927.7785714285715,-0.18121786558644382,0.02,0.05,0.06999999999999999,-0.2512178655864438,LOSS,-24.35342334462341,9669.791253735846
62,2025-11-26 17:26:00,2025-11-26 17:28:00,2964.8,2965.8376800000005,2979.16,2973.4871428571428,2947.4257142857145,YES,STOP,2965.8376800000005,2973.4871428571428,-0.25791913390021476,0.02,0.05,0.06999999999999999,-0.32791913390021477,LOSS,-31.709095729209306,9638.082158006637
63,2025-11-26 21:25:00,2025-11-27 00:05:00,3029.89,3030.9504615,3035.83,3036.222857142857,3017.224285714286,YES,TP,3030.9504615,3017.224285714286,0.45286704484510354,0.02,0.05,0.06999999999999999,0.38286704484510353,WIN,36.90104033810319,9674.98319834474
64,2025-11-27 00:47:00,2025-11-27 00:48:00,3033.28,3034.3416480000005,3047.47,3038.4928571428572,3022.8542857142866,YES,STOP,3034.3416480000005,3038.4928571428572,-0.13680757226506993,0.02,0.05,0.06999999999999999,-0.2068075722650699,LOSS,-20.008597869550172,9654.97460047519
65,2025-11-27 01:57:00,2025-11-27 02:21:00,3053.16,3054.228606,3066.27,3059.3371428571427,3040.805714285714,YES,STOP,3054.228606,3059.3371428571427,-0.16726111618190223,0.02,0.05,0.06999999999999999,-0.2372611161819022,LOSS,-22.90750050416659,9632.067099971024
66,2025-11-27 04:10:00,2025-11-27 04:15:00,3047.38,3048.4465830000004,3053.96,3052.1457142857143,3037.8485714285716,YES,STOP,3048.4465830000004,3052.1457142857143,-0.12134479594763409,0.02,0.05,0.06999999999999999,-0.1913447959476341,LOSS,-18.430459137978755,9613.636640833045
67,2025-11-27 09:16:00,2025-11-27 09:19:00,3031.85,3032.9111475,3037.71,3034.645714285714,3026.258571428572,YES,STOP,3032.9111475,3034.645714285714,-0.05719148044095226,0.02,0.05,0.06999999999999999,-0.12719148044095224,LOSS,-12.22772676768938,9601.408914065356
68,2025-11-27 15:04:00,2025-11-27 15:08:00,3009.03,3010.0831605000003,3010.1,3013.9642857142862,2999.1614285714286,YES,TP,3010.0831605000003,2999.1614285714286,0.3628382123089757,0.02,0.05,0.06999999999999999,0.2928382123089757,WIN,28.11659422042363,9629.52550828578
69,2025-11-28 02:55:00,2025-11-28 03:14:00,3014.39,3015.4450365000002,3015.19,3018.325714285714,3006.5185714285712,NO,SKIPPED,,,0.0,0.0,0.0,0.0,0.0,SKIP,0.0,9629.52550828578
70,2025-11-28 04:10:00,2025-11-28 04:35:00,3015.56,3016.6154460000002,3019.66,3019.2471428571425,3008.1857142857148,YES,STOP,3016.6154460000002,3019.2471428571425,-0.08724005111861008,0.02,0.05,0.06999999999999999,-0.15724005111861006,LOSS,-15.141470831708157,9614.384037454072
71,2025-11-28 05:08:00,2025-11-28 05:09:00,3022.91,3023.9680185,3027.24,3025.582857142857,3017.5642857142857,YES,STOP,3023.9680185,3025.582857142857,-0.053401313538287976,0.02,0.05,0.06999999999999999,-0.12340131353828797,LOSS,-11.86427619083381,9602.519761263238
72,2025-11-28 08:11:00,2025-11-28 08:35:00,3019.07,3020.1266745000003,3023.52,3023.1871428571426,3010.835714285715,YES,STOP,3020.1266745000003,3023.1871428571426,-0.10133576127726512,0.02,0.05,0.06999999999999999,-0.17133576127726513,LOSS,-16.452550334760193,9586.067210928479
73,2025-11-28 08:50:00,2025-11-28 08:51:00,3047.13,3048.1964955000003,3074.77,3052.912857142857,3035.5642857142866,YES,STOP,3048.1964955000003,3052.912857142857,-0.154726299627312,0.02,0.05,0.06999999999999999,-0.224726299627312,LOSS,-21.542414122906642,9564.524796805572
74,2025-11-28 13:36:00,2025-11-28 13:46:00,3057.26,3058.3300410000006,3063.32,3062.0642857142857,3047.651428571429,YES,STOP,3058.3300410000006,3062.0642857142857,-0.12210077605175863,0.02,0.05,0.06999999999999999,-0.19210077605175863,LOSS,-18.37352636032639,9546.151270445245
75,2025-11-28 19:20:00,2025-11-28 19:25:00,3050.3,3051.3676050000004,3056.7,3055.357142857143,3040.1857142857148,YES,STOP,3051.3676050000004,3055.357142857143,-0.13074589409042212,0.02,0.05,0.06999999999999999,-0.2007458940904221,LOSS,-19.163506719079496,9526.987763726165
76,2025-11-29 04:28:00,2025-11-29 04:30:00,3029.11,3030.1701885,3032.71,3031.6714285714284,3023.987142857143,YES,STOP,3030.1701885,3031.6714285714284,-0.049543094217136194,0.02,0.05,0.06999999999999999,-0.11954309421713619,LOSS,-11.388855958446205,9515.598907767719
77,2025-11-29 04:59:00,2025-11-29 05:49:00,3041.04,3042.1043640000003,3044.85,3043.785714285714,3035.548571428572,YES,TP,3042.1043640000003,3035.548571428572,0.21550189562886263,0.02,0.05,0.06999999999999999,0.14550189562886262,WIN,13.845376791241376,9529.44428455896
